ds,y,RESP,MA_ATM,bar
2018-05-25,160898000.0,45586,59819412,92
2018-05-26,135750000.0,-66,42913926,66
2018-05-27,91250000.0,-35,22757385,35
2018-05-28,181700000.0,-72,46815192,72
2018-05-29,95300000.0,1937,31860339,49
2018-05-30,143850000.0,-59,38362449,59
2018-05-31,104750000.0,-55,35761605,55
2018-06-01,155050000.0,-60,39012660,60
2018-06-02,47600000.0,-27,17555697,27
2018-06-03,61250000.0,-31,20156541,31
2018-06-04,143000000.0,-56,36411816,56
2018-06-05,167200000.0,-58,37712238,58
2018-06-06,73000000.0,-37,24057807,37
2018-06-07,126000000.0,79353,56568357,87
2018-06-08,140040000.0,13831,46164981,71
2018-06-09,89550000.0,-40,26008440,40
2018-06-10,63600000.0,-37,24057807,37
2018-06-11,247400000.0,-100,65021100,100
2018-06-12,87050000.0,-46,29909706,46
2018-06-13,119050000.0,-62,40313082,62
2018-06-14,171500000.0,-69,44864559,69
2018-06-15,139500000.0,-68,44214348,68
2018-06-16,113950000.0,-65,42263715,65
2018-06-17,25500000.0,-21,13654431,21
2018-06-18,121950000.0,-66,42913926,66
2018-06-19,131400000.0,-63,40963293,63
2018-06-20,151000000.0,-71,46164981,71
2018-06-21,143450000.0,-73,47465403,73
2018-06-22,112750000.0,-66,42913926,66
2018-06-23,92300000.0,-50,32510550,50
2018-06-24,61400000.0,-34,22107174,34
2018-06-25,237650000.0,-87,56568357,87
2018-06-26,254550000.0,-106,68922366,106
2018-06-27,159100000.0,-72,46815192,72
2018-06-28,236500000.0,-80,52016880,80
2018-06-29,159050000.0,-63,40963293,63
2018-06-30,243250000.0,-72,46815192,72
2018-07-01,54080000.0,31723,34461183,53
2018-07-02,216610000.0,2888,59169201,91
2018-07-03,273310000.0,8825,72823632,112
2018-07-04,133450000.0,-58,37712238,58
2018-07-05,197100000.0,-85,55267935,85
2018-07-06,163350000.0,-74,48115614,74
2018-07-07,148800000.0,-65,42263715,65
2018-07-08,86000000.0,-44,28609284,44
2018-07-09,146550000.0,-70,45514770,70
2018-07-10,112250000.0,-51,33160761,51
2018-07-11,121750000.0,-60,39012660,60
2018-07-12,70700000.0,-45,29259495,45
2018-07-13,178450000.0,-75,48765825,75
2018-07-14,118450000.0,-60,39012660,60
2018-07-15,110450000.0,-44,28609284,44
2018-07-16,145950000.0,-61,39662871,61
2018-07-17,165000000.0,-69,44864559,69
2018-07-18,108900000.0,-52,33810972,52
2018-07-19,168950000.0,-84,54617724,84
2018-07-20,155200000.0,4896,44864559,69
2018-07-21,121900000.0,-63,40963293,63
2018-07-22,63500000.0,-41,26658651,41
2018-07-23,125200000.0,-62,40313082,62
2018-07-24,71900000.0,-40,26008440,40
2018-07-25,87000000.0,-44,28609284,44
2018-07-26,126000000.0,-54,35111394,54
2018-07-27,120450000.0,-62,40313082,62
2018-07-28,201450000.0,-85,55267935,85
2018-07-29,42100000.0,-35,22757385,35
2018-07-30,130750000.0,-62,40313082,62
2018-07-31,174500000.0,-74,48115614,74
2018-08-01,160300000.0,-72,46815192,72
2018-08-02,157150000.0,-77,50066247,77
2018-08-03,137400000.0,-62,40313082,62
2018-08-04,116450000.0,-57,37062027,57
2018-08-05,93700000.0,-41,26658651,41
2018-08-06,176850000.0,-65,42263715,65
2018-08-07,156050000.0,7868,49416036,76
2018-08-08,171150000.0,-70,45514770,70
2018-08-09,86650000.0,-45,29259495,45
2018-08-10,116750000.0,-65,42263715,65
2018-08-11,123850000.0,-61,39662871,61
2018-08-12,68100000.0,-34,22107174,34
2018-08-13,79800000.0,-54,35111394,54
2018-08-14,151450000.0,-54,35111394,54
2018-08-15,169650000.0,-79,51366669,79
2018-08-16,110800000.0,2907,46815192,72
2018-08-17,174050000.0,-78,50716458,78
2018-08-18,84900000.0,-40,26008440,40
2018-08-19,65100000.0,-32,20806752,32
2018-08-20,158750000.0,-91,59169201,91
2018-08-21,138200000.0,-74,48115614,74
2018-08-22,133900000.0,-64,41613504,64
2018-08-23,112100000.0,-59,38362449,59
2018-08-24,63550000.0,-42,27308862,42
2018-08-25,120750000.0,-62,40313082,62
2018-08-26,81550000.0,-42,27308862,42
2018-08-27,116650000.0,-68,44214348,68
